GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
SpringBoot backend,com.webapp.jchess.model,AbstractGame,121,363,28,30,25,85,25,24,3,17
SpringBoot backend,com.webapp.jchess.model,Player,10,6,0,0,4,3,2,1,2,1
SpringBoot backend,com.webapp.jchess.model,Player.player_IDS,0,27,0,0,0,2,0,1,0,1
SpringBoot backend,com.webapp.jchess.model,Game_twoPlayers,91,0,0,0,16,0,5,0,5,0
SpringBoot backend,com.webapp.jchess.model,Game_threePlayerGame,45,363,19,31,8,49,16,16,1,5
SpringBoot backend,com.webapp.jchess.model.moves,AbstractMove.specialMoves,33,0,0,0,2,0,1,0,1,0
SpringBoot backend,com.webapp.jchess.model.moves,CastlingShort,79,0,0,0,15,0,4,0,4,0
SpringBoot backend,com.webapp.jchess.model.moves,AbstractMove,0,3,0,0,0,1,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.moves,RemovePlayer,27,0,0,0,9,0,4,0,4,0
SpringBoot backend,com.webapp.jchess.model.moves,CastlingLong,79,0,0,0,15,0,4,0,4,0
SpringBoot backend,com.webapp.jchess.model.moves,enPassant,54,0,0,0,15,0,4,0,4,0
SpringBoot backend,com.webapp.jchess.model.moves,PawnTwoFieldsMove,22,0,0,0,8,0,4,0,4,0
SpringBoot backend,com.webapp.jchess.model.moves,StandardMove,140,84,7,5,26,22,8,3,2,3
SpringBoot backend,com.webapp.jchess.services,GameService,70,58,6,3,15,18,7,9,2,8
SpringBoot backend,com.webapp.jchess.model.gamestate,TriangleBoard,52,216,6,20,8,36,7,12,2,4
SpringBoot backend,com.webapp.jchess.model.gamestate,AbstractBoard,0,9,0,0,0,4,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.gamestate,squareVector,0,11,0,0,0,4,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.gamestate,triangleVector,0,49,0,0,0,9,0,2,0,2
SpringBoot backend,com.webapp.jchess.model.gamestate,Triangle,53,112,1,3,10,17,4,3,3,2
SpringBoot backend,com.webapp.jchess.model.gamestate,abstractVector,0,9,0,0,0,4,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.gamestate,SquareBoard,17,298,8,22,4,39,7,17,0,9
SpringBoot backend,com.webapp.jchess.model.gamestate,Square,20,73,0,2,5,11,3,3,3,2
SpringBoot backend,com.webapp.jchess.model.gamestate,AbstractField,0,29,0,0,0,11,0,4,0,4
SpringBoot backend,com.webapp.jchess.model.gamestate,abstractVector.takeEnemyPiece,0,21,0,0,0,4,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.pieces,Rook,0,122,0,0,0,16,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.pieces,Piece.typesOfPieces,0,39,0,0,0,2,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.pieces,Queen,0,235,0,0,0,29,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.pieces,King,35,330,8,14,9,49,7,8,0,4
SpringBoot backend,com.webapp.jchess.model.pieces,Pawn,78,165,4,0,15,15,4,1,1,1
SpringBoot backend,com.webapp.jchess.model.pieces,Piece,3,183,2,26,1,48,3,19,1,7
SpringBoot backend,com.webapp.jchess.model.pieces,Knight,0,166,0,0,0,20,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.pieces,Bishop,0,122,0,0,0,16,0,1,0,1
SpringBoot backend,com.webapp.jchess.model.optionalInterfaces,I_PromotionMechanism,2,0,0,0,1,0,1,0,1,0
SpringBoot backend,com.webapp.jchess.controller,ApiController,128,213,17,9,30,47,16,11,2,8
SpringBoot backend,com.webapp.jchess,WebApplication,5,3,0,0,2,1,1,1,1,1
